State  ,soil
Andhra Pradesh,red soil
Arunachal Pradesh,mountain soil
Assam,mountain soil
Bihar ,alluvial  soil
Chhattisgarh,red and yellow soil
Goa,laterite soil
Gujarat,alluvial soil
Haryana,alluvial soil
Himachal Pradesh,mountain soil
Jharkhand,red and yellow soil
Karnataka,red soil
Kerala,red and yellow soil
Madhya Pradesh,black soil
Maharashtra,black soil
Manipur,red and yellow soil
Meghalaya,laterite soil
Mizoram,red and yellow soil
Nagaland,red and yellow soil
Odisha,red soil
Punjab,alluvial soil
Rajasthan,arid soil
Sikkim,mountain soil
Tamil Nadu,laterite soil
Telangana ,red soil
Tripura,red and yellow soil
Uttarakhand,mountain soil
Uttar Pradesh ,alluvial soil
West Bengal,alluvial soil
